time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.074,-5.43,14.47,-4.27,0.60,-0.93,-0.07,Aufheben
0.022,0.09,-9.89,26.86,-11.41,0.73,-1.00,-0.14,Aufheben
0.034,0.109,-7.39,29.05,-23.19,0.78,-1.11,-0.12,Aufheben
0.046,0.114,4.21,17.40,-45.90,0.72,-1.11,-0.21,Aufheben
0.058,0.121,14.04,8.00,-71.41,0.73,-1.06,-0.18,Aufheben
0.07,0.132,16.05,13.37,-92.59,0.74,-0.99,-0.10,Aufheben
0.082,0.148,11.66,26.73,-107.18,0.64,-0.99,-0.00,Aufheben
0.094,0.155,12.82,28.87,-113.77,0.62,-0.97,0.06,Aufheben
0.106,0.171,17.46,35.64,-119.20,0.60,-0.91,0.10,Aufheben
0.118,0.18,16.11,39.79,-122.01,0.66,-0.77,0.07,Aufheben
0.13,0.193,5.25,44.80,-119.75,0.71,-0.72,0.06,Aufheben
0.143,0.21,0.12,53.47,-118.10,0.75,-0.76,0.01,Aufheben
0.155,0.218,-0.98,55.05,-116.82,0.73,-0.73,0.01,Aufheben
0.168,0.239,-10.25,60.18,-116.09,0.77,-0.73,0.02,Aufheben
0.18,0.247,-9.77,58.11,-107.42,0.55,-0.76,-0.05,Aufheben
0.192,0.255,-7.39,51.39,-117.61,0.59,-0.69,-0.03,Aufheben
0.204,0.269,-12.88,37.60,-106.45,0.40,-0.68,-0.05,Aufheben
0.216,0.278,-18.92,15.26,-111.88,0.47,-0.65,-0.05,Aufheben
0.228,0.297,-22.16,5.43,-106.26,0.51,-0.68,-0.05,Aufheben
0.24,0.305,-21.00,5.49,-101.87,0.52,-0.64,-0.08,Aufheben
0.252,0.314,-28.81,4.88,-97.53,0.48,-0.63,-0.12,Aufheben
0.264,0.328,-30.94,-14.40,-92.04,0.49,-0.65,-0.12,Aufheben
0.276,0.349,-29.72,-31.68,-83.98,0.49,-0.63,-0.10,Aufheben
0.288,0.356,-29.79,-46.81,-74.04,0.44,-0.61,-0.08,Aufheben
0.3,0.364,-32.23,-68.05,-64.45,0.37,-0.62,-0.05,Aufheben
0.313,0.378,-35.83,-103.21,-50.90,0.30,-0.62,-0.07,Aufheben
0.325,0.388,-38.27,-119.69,-41.63,0.31,-0.60,-0.10,Aufheben
0.337,0.403,-41.38,-132.14,-31.74,0.32,-0.58,-0.11,Aufheben
0.349,0.413,-40.22,-145.20,-21.00,0.31,-0.58,-0.11,Aufheben
0.361,0.432,-37.72,-170.23,-10.25,0.31,-0.59,-0.15,Aufheben
0.373,0.444,-34.24,-206.67,-4.94,0.33,-0.61,-0.17,Aufheben
0.385,0.451,-31.74,-239.07,-0.79,0.37,-0.65,-0.16,Aufheben
0.397,0.459,-27.34,-259.52,3.54,0.38,-0.65,-0.17,Aufheben
0.409,0.477,-21.85,-278.69,5.80,0.31,-0.65,-0.21,Aufheben
0.421,0.483,-17.21,-297.91,5.98,0.29,-0.65,-0.28,Aufheben
0.434,0.504,-14.47,-318.66,2.62,0.29,-0.66,-0.38,Aufheben
0.446,0.517,-11.54,-338.13,-2.44,0.29,-0.71,-0.53,Aufheben
0.458,0.525,-4.58,-342.22,-6.23,0.48,-0.74,-0.64,Aufheben
0.47,0.533,9.89,-317.50,-3.17,0.60,-0.74,-0.62,Aufheben
0.482,0.552,24.11,-263.92,2.62,0.52,-0.72,-0.58,Aufheben
0.494,0.56,30.64,-211.67,6.96,0.34,-0.75,-0.48,Aufheben
0.506,0.569,32.65,-177.80,6.77,0.28,-0.78,-0.45,Aufheben
0.518,0.583,33.75,-143.49,10.13,0.35,-0.83,-0.42,Aufheben
0.53,0.592,35.40,-112.55,12.57,0.33,-0.85,-0.41,Aufheben
0.542,0.604,36.99,-90.58,14.34,0.30,-0.88,-0.43,Aufheben
0.554,0.617,39.18,-85.27,13.37,0.33,-0.92,-0.46,Aufheben
0.566,0.632,43.52,-88.93,10.56,0.33,-0.90,-0.51,Aufheben
0.578,0.642,46.88,-91.25,8.24,0.29,-0.89,-0.55,Aufheben
0.59,0.661,47.49,-96.31,6.23,0.27,-0.88,-0.57,Aufheben
0.603,0.666,46.75,-98.27,5.13,0.27,-0.89,-0.54,Aufheben
0.615,0.676,46.14,-99.24,3.36,0.31,-0.90,-0.49,Aufheben
0.627,0.689,45.23,-89.90,1.83,0.35,-0.88,-0.45,Aufheben
0.64,0.707,43.15,-70.92,1.16,0.39,-0.85,-0.41,Aufheben
0.652,0.715,39.12,-46.63,2.08,0.39,-0.84,-0.41,Aufheben
0.665,0.728,36.44,-31.49,-1.59,0.28,-0.86,-0.42,Aufheben
0.678,0.747,37.29,-25.63,-5.19,0.33,-0.83,-0.46,Aufheben
0.69,0.757,35.58,-13.79,-6.59,0.35,-0.82,-0.47,Aufheben
0.702,0.767,31.86,0.06,-3.78,0.40,-0.85,-0.52,Aufheben
0.715,0.802,30.94,12.57,3.72,0.34,-0.92,-0.50,Aufheben
0.727,0.803,36.80,15.81,10.19,0.13,-0.91,-0.47,Aufheben
0.739,0.803,35.58,11.66,13.31,0.18,-0.92,-0.43,Aufheben
0.751,0.815,32.90,15.63,6.23,0.26,-0.89,-0.43,Aufheben
0.763,0.828,31.37,17.82,1.53,0.24,-0.85,-0.45,Aufheben
0.775,0.837,30.15,12.08,0.92,0.22,-0.87,-0.49,Aufheben
0.787,0.858,28.75,8.00,0.92,0.23,-0.88,-0.51,Aufheben
0.799,0.865,29.05,11.35,-4.52,0.34,-0.84,-0.56,Aufheben
0.811,0.873,27.65,29.30,-6.35,0.46,-0.87,-0.61,Aufheben
0.823,0.888,31.43,55.54,-6.53,0.42,-0.89,-0.71,Aufheben
0.835,0.92,29.11,62.44,-7.75,0.24,-0.85,-0.74,Aufheben
0.847,0.92,21.36,38.15,-12.76,0.05,-0.87,-0.78,Aufheben
0.859,0.928,25.15,-22.89,-24.23,0.13,-1.03,-0.41,Aufheben
0.871,0.934,28.50,-54.50,-35.03,0.44,-0.94,-0.41,Aufheben
0.883,0.95,29.60,-49.74,-33.26,0.20,-0.88,-0.31,Aufheben
0.895,0.961,31.68,-55.24,-32.96,0.14,-0.96,-0.29,Aufheben
0.907,0.969,35.16,-64.39,-39.00,-0.05,-0.92,-0.29,Aufheben
0.919,0.987,36.25,-74.10,-37.72,0.14,-0.89,-0.36,Aufheben
0.931,0.993,37.90,-53.34,-36.68,0.36,-0.91,-0.46,Aufheben
0.943,1.008,38.88,-22.40,-33.63,0.37,-0.93,-0.47,Aufheben
0.955,1.018,43.27,-15.26,-34.55,0.26,-0.93,-0.43,Aufheben
0.967,1.037,43.52,-31.01,-34.18,0.23,-1.03,-0.35,Aufheben
0.979,1.053,43.95,-38.94,-44.13,0.15,-0.91,-0.29,Aufheben
0.991,1.063,35.58,-39.79,-35.58,0.48,-1.05,-0.30,Aufheben
1.003,1.072,29.11,-3.85,-31.86,0.35,-0.91,-0.40,Aufheben
1.036,1.097,11.41,66.96,-16.91,0.57,-1.02,-0.69,Aufheben
1.048,1.123,10.07,99.55,-14.89,0.34,-0.91,-0.67,Aufheben
1.06,1.139,0.00,94.73,-11.90,0.32,-0.99,-0.58,Aufheben
1.072,1.147,-3.05,78.67,-11.84,0.32,-0.95,-0.49,Aufheben
1.084,1.194,-11.96,60.12,-10.44,0.17,-0.94,-0.44,Aufheben
1.097,1.209,-18.80,30.09,-10.68,0.43,-0.89,-0.41,Aufheben
1.109,1.209,-24.23,40.53,-11.11,0.47,-0.86,-0.45,Aufheben
1.121,1.209,-40.95,41.93,-10.44,0.47,-0.88,-0.50,Aufheben
1.133,1.209,-50.17,38.51,-9.89,0.51,-0.91,-0.53,Aufheben
1.145,1.223,-55.91,49.19,-9.89,0.58,-0.94,-0.59,Aufheben
1.157,1.231,-56.27,76.05,-9.16,0.59,-0.87,-0.74,Aufheben
1.169,1.231,-55.85,103.09,-4.58,0.61,-0.81,-0.74,Aufheben
1.181,1.264,-64.15,119.93,-0.18,0.58,-0.82,-0.66,Aufheben
1.193,1.273,-75.01,128.97,3.72,0.61,-0.81,-0.63,Aufheben
1.205,1.273,-85.02,142.64,9.64,0.69,-0.80,-0.66,Aufheben
1.217,1.292,-92.41,158.20,12.51,0.68,-0.78,-0.64,Aufheben
1.229,1.299,-101.26,165.22,13.49,0.68,-0.76,-0.62,Aufheben
1.241,1.305,-105.77,176.88,12.39,0.74,-0.73,-0.57,Aufheben
1.253,1.314,-103.09,189.58,9.46,0.73,-0.68,-0.46,Aufheben
1.265,1.358,-101.56,192.93,4.88,0.72,-0.61,-0.50,Aufheben
1.277,1.369,-100.10,188.90,-1.22,0.77,-0.61,-0.51,Aufheben
1.289,1.369,-97.78,190.43,-7.69,0.77,-0.59,-0.53,Aufheben
1.301,1.369,-95.89,196.35,-12.51,0.71,-0.55,-0.46,Aufheben
1.313,1.383,-97.96,201.97,-13.67,0.61,-0.49,-0.39,Aufheben
1.325,1.39,-99.67,200.93,-18.37,0.51,-0.42,-0.36,Aufheben
1.337,1.399,-104.86,191.41,-20.57,0.49,-0.36,-0.32,Aufheben
1.349,1.42,-112.73,190.37,-17.58,0.57,-0.33,-0.45,Aufheben
1.361,1.442,-117.68,188.05,-19.96,0.57,-0.34,-0.35,Aufheben
1.373,1.471,-119.69,176.39,-23.25,0.59,-0.34,-0.41,Aufheben
1.385,1.471,-119.81,162.78,-23.25,0.62,-0.36,-0.33,Aufheben
1.397,1.471,-117.49,144.23,-26.67,0.58,-0.35,-0.25,Aufheben
1.409,1.477,-116.27,114.26,-28.87,0.52,-0.34,-0.19,Aufheben
1.421,1.486,-115.91,88.26,-29.91,0.51,-0.31,-0.14,Aufheben
1.434,1.502,-118.04,72.81,-29.42,0.57,-0.29,-0.16,Aufheben
1.446,1.508,-124.82,67.75,-28.44,0.61,-0.32,-0.21,Aufheben
1.459,1.523,-125.49,65.37,-24.96,0.58,-0.35,-0.20,Aufheben
1.471,1.544,-125.31,59.63,-22.34,0.57,-0.36,-0.23,Aufheben
1.483,1.551,-127.81,50.05,-23.32,0.60,-0.39,-0.24,Aufheben
1.495,1.557,-135.68,55.66,-22.52,0.68,-0.44,-0.27,Aufheben
1.508,1.578,-131.10,64.76,-15.01,0.64,-0.48,-0.28,Aufheben
1.52,1.586,-119.08,61.77,-15.63,0.74,-0.54,-0.23,Aufheben
1.532,1.594,-119.45,63.05,-9.40,0.75,-0.52,-0.23,Aufheben
1.544,1.611,-119.32,53.65,-8.67,0.74,-0.53,-0.25,Aufheben
1.556,1.618,-118.47,37.66,-8.73,0.73,-0.56,-0.24,Laufen
1.568,1.647,-114.75,25.39,-2.56,0.77,-0.54,-0.24,Laufen
1.58,1.653,-109.44,19.90,-0.49,0.71,-0.49,-0.21,Laufen
1.592,1.659,-109.56,25.21,7.02,0.73,-0.53,-0.11,Laufen
1.604,1.673,-110.60,25.21,9.64,0.66,-0.54,-0.11,Laufen
1.616,1.68,-108.76,15.08,8.85,0.69,-0.57,-0.08,Laufen
1.628,1.69,-104.43,18.19,9.40,0.78,-0.55,-0.09,Laufen
1.64,1.704,-99.18,30.27,12.57,0.74,-0.53,-0.11,Laufen
1.652,1.715,-93.99,43.40,17.03,0.71,-0.52,-0.13,Laufen
1.664,1.729,-89.48,49.87,17.76,0.70,-0.50,-0.22,Laufen
1.676,1.748,-85.45,55.11,22.22,0.65,-0.50,-0.29,Laufen
1.688,1.754,-79.59,52.43,24.96,0.59,-0.49,-0.29,Laufen
1.7,1.762,-72.57,38.70,26.86,0.55,-0.45,-0.31,Laufen
1.712,1.795,-72.81,28.63,28.81,0.59,-0.43,-0.35,Laufen
1.724,1.796,-70.56,25.15,32.84,0.62,-0.42,-0.38,Laufen
1.736,1.806,-68.91,26.43,36.62,0.64,-0.42,-0.37,Laufen
1.748,1.813,-66.22,24.60,40.89,0.63,-0.39,-0.37,Laufen
1.76,1.822,-69.34,15.69,42.24,0.62,-0.41,-0.33,Laufen
1.772,1.85,-67.57,6.04,41.63,0.66,-0.39,-0.27,Laufen
1.784,1.858,-68.18,-6.41,40.04,0.70,-0.39,-0.18,Laufen
1.796,1.866,-66.22,-20.81,38.94,0.78,-0.40,-0.10,Laufen
1.808,1.879,-60.91,-36.62,35.71,0.82,-0.41,-0.07,Laufen
1.82,1.886,-52.86,-52.37,29.91,0.86,-0.44,-0.07,Laufen
1.832,1.906,-43.27,-63.66,26.98,0.89,-0.40,-0.14,Laufen
1.844,1.915,-38.15,-66.28,25.45,0.87,-0.35,-0.17,Laufen
1.856,1.921,-37.72,-63.17,26.43,0.85,-0.35,-0.25,Laufen
1.868,1.93,-37.54,-59.51,24.35,0.86,-0.39,-0.31,Laufen
1.88,1.952,-37.17,-51.21,23.01,0.92,-0.39,-0.35,Laufen
1.892,1.959,-34.24,-42.48,19.53,0.93,-0.38,-0.36,Laufen
1.904,1.966,-26.00,-31.43,14.77,0.91,-0.42,-0.38,Laufen
1.916,1.992,-16.72,-21.12,15.56,0.89,-0.40,-0.38,Laufen
1.928,1.992,-18.37,-16.60,14.65,0.86,-0.38,-0.38,Laufen
1.94,2.005,-17.94,-9.64,11.78,0.86,-0.41,-0.41,Laufen
1.952,2.019,-14.65,-9.46,11.60,0.84,-0.41,-0.41,Laufen
1.964,2.025,-12.02,-8.97,10.68,0.85,-0.39,-0.39,Laufen
1.976,2.042,-9.70,-9.58,8.91,0.82,-0.39,-0.36,Laufen
1.988,2.082,-3.23,-8.61,8.42,0.81,-0.39,-0.33,Laufen
2.0,2.09,-4.21,-10.13,6.29,0.78,-0.34,-0.35,Laufen
2.012,2.09,-3.54,-12.45,5.62,0.78,-0.33,-0.35,Laufen
2.024,2.09,-3.36,-9.70,5.13,0.77,-0.32,-0.34,Laufen
2.057,2.119,-8.61,-19.41,-0.92,0.77,-0.32,-0.33,Laufen
2.069,2.133,-6.65,-17.76,-0.18,0.80,-0.29,-0.29,Laufen
2.081,2.145,-12.21,-16.54,-0.06,0.78,-0.28,-0.26,Laufen
2.093,2.163,-10.01,-20.08,-1.10,0.77,-0.32,-0.27,Laufen
2.105,2.169,-6.90,-26.06,-2.62,0.74,-0.31,-0.24,Laufen
2.117,2.186,-5.25,-32.23,-3.72,0.77,-0.31,-0.24,Laufen
2.13,2.195,-6.71,-33.39,-1.83,0.81,-0.31,-0.24,Laufen
2.142,2.206,-5.13,-34.73,-4.58,0.83,-0.30,-0.27,Laufen
2.154,2.219,-0.49,-36.01,-3.66,0.84,-0.32,-0.27,Laufen
2.166,2.227,3.36,-36.13,-4.27,0.83,-0.32,-0.27,Laufen
2.178,2.242,7.26,-38.94,-7.39,0.83,-0.32,-0.24,Laufen
2.19,2.266,9.28,-43.33,-10.68,0.87,-0.30,-0.26,Laufen
2.203,2.266,8.97,-42.18,-11.60,0.84,-0.30,-0.29,Laufen
2.215,2.277,10.99,-44.37,-14.71,0.84,-0.28,-0.31,Laufen
2.227,2.291,11.54,-43.82,-15.75,0.84,-0.27,-0.30,Laufen
2.24,2.303,10.99,-40.65,-15.87,0.85,-0.25,-0.33,Laufen
2.252,2.314,8.97,-40.83,-15.63,0.82,-0.24,-0.32,Laufen
2.264,2.393,5.37,-42.36,-15.32,0.82,-0.21,-0.32,Laufen
2.276,2.394,0.85,-44.25,-16.66,0.86,-0.23,-0.31,Laufen
2.288,2.394,-3.48,-50.66,-17.82,0.93,-0.26,-0.31,Laufen
2.3,2.394,-1.16,-55.73,-24.66,1.01,-0.26,-0.32,Laufen
2.312,2.412,2.87,-61.71,-29.05,1.08,-0.25,-0.36,Laufen
2.324,2.412,1.46,-61.95,-33.75,1.14,-0.25,-0.41,Laufen
2.336,2.412,-4.27,-51.88,-33.57,1.16,-0.26,-0.48,Laufen
2.348,2.43,-8.00,-35.40,-33.26,1.11,-0.28,-0.54,Laufen
2.36,2.447,-5.98,-24.72,-34.18,1.04,-0.31,-0.64,Laufen
2.372,2.447,-2.81,-15.81,-34.06,1.01,-0.29,-0.68,Laufen
2.384,2.462,-2.38,-13.00,-34.67,0.97,-0.30,-0.72,Laufen
2.396,2.462,0.85,-15.26,-34.48,0.96,-0.32,-0.72,Laufen
2.408,2.523,3.72,-16.66,-33.87,0.97,-0.33,-0.70,Laufen
2.42,2.54,-0.61,-12.63,-33.33,0.98,-0.33,-0.66,Laufen
2.432,2.54,-5.80,-4.58,-34.61,0.95,-0.33,-0.65,Laufen
2.444,2.54,-6.77,1.83,-34.97,0.90,-0.35,-0.59,Laufen
2.456,2.54,-6.77,6.47,-35.58,0.81,-0.32,-0.50,Laufen
2.468,2.54,-7.32,10.74,-36.87,0.73,-0.27,-0.45,Laufen
2.48,2.551,-9.28,13.24,-37.35,0.69,-0.23,-0.44,Laufen
2.492,2.566,-10.99,14.71,-34.48,0.69,-0.22,-0.43,Laufen
2.504,2.579,-13.55,15.75,-30.40,0.71,-0.22,-0.47,Laufen
2.516,2.59,-16.78,14.28,-26.37,0.73,-0.22,-0.52,Laufen
2.528,2.599,-17.09,10.50,-24.84,0.75,-0.19,-0.56,Laufen
2.54,2.619,-17.40,13.92,-20.20,0.79,-0.20,-0.56,Laufen
2.552,2.625,-19.17,16.97,-15.56,0.77,-0.20,-0.55,Laufen
2.564,2.633,-20.81,15.81,-13.61,0.76,-0.20,-0.54,Laufen
2.576,2.639,-24.17,12.63,-13.67,0.78,-0.19,-0.52,Laufen
2.588,2.65,-25.76,16.36,-10.80,0.79,-0.20,-0.50,Laufen
2.6,2.668,-23.93,16.91,-9.70,0.77,-0.19,-0.50,Laufen
2.612,2.674,-22.83,11.41,-8.12,0.75,-0.20,-0.48,Laufen
2.624,2.687,-23.19,3.66,-8.12,0.76,-0.20,-0.48,Laufen
2.636,2.714,-24.35,2.01,-6.29,0.75,-0.22,-0.49,Laufen
2.648,2.714,-20.51,0.18,-4.46,0.74,-0.22,-0.48,Laufen
2.66,2.722,-19.17,1.53,-2.69,0.72,-0.21,-0.45,Laufen
2.672,2.737,-17.46,1.04,-1.95,0.68,-0.19,-0.42,Laufen
2.684,2.752,-17.58,2.44,-0.31,0.68,-0.18,-0.39,Laufen
2.696,2.771,-16.85,3.48,1.34,0.68,-0.18,-0.36,Laufen
2.708,2.777,-15.26,4.82,2.38,0.68,-0.18,-0.36,Laufen
2.72,2.785,-11.60,3.78,2.75,0.71,-0.13,-0.37,Laufen
2.732,2.795,-8.67,5.07,4.70,0.73,-0.12,-0.39,Laufen
